,date,cases,diff
100,2021-05-12,23362692.82544959,342233.2790777981
101,2021-05-13,23695187.153440118,332494.3279905282
102,2021-05-14,24017696.45883234,322509.3053922206
103,2021-05-15,24330055.397709265,312358.9388769269
104,2021-05-16,24632170.16114373,302114.763434466
105,2021-05-17,24924009.806064237,291839.6449205056
106,2021-05-18,25205598.1926074,281588.38654316217
107,2021-05-19,25477006.569620177,271408.3770127781
108,2021-05-20,25738346.818772767,261340.2491525896
109,2021-05-21,25989765.345277265,251418.52650449798
110,2021-05-22,26231437.58792758,241672.24265031517
111,2021-05-23,26463563.11158011,232125.5236525312
112,2021-05-24,26686361.239922587,222798.12834247574
113,2021-05-25,26900067.184268285,213705.94434569776
114,2021-05-26,27104928.624211848,204861.4399435632
115,2021-05-27,27301202.69754063,196274.07332878187
116,2021-05-28,27489153.35924325,187950.66170262173
117,2021-05-29,27669049.072376944,179895.71313369274
118,2021-05-30,27841160.79665745,172111.72428050637
119,2021-05-31,28005760.243722044,164599.44706459343
120,2021-06-01,28163118.370969955,157358.12724791095
121,2021-06-02,28313504.08863292,150385.71766296402
122,2021-06-03,28457183.15724364,143679.06861072034
123,2021-06-04,28594417.254943136,137234.0976994969
124,2021-06-05,28725463.196108893,131045.94116575643
125,2021-06-06,28850572.284611426,125109.08850253373
126,2021-06-07,28969989.786638264,119417.50202683732
127,2021-06-08,29083954.509485178,113964.72284691408
128,2021-06-09,29192698.474023715,108743.96453853697
129,2021-06-10,29296446.669733707,103748.1957099922
130,2021-06-11,29395416.882254913,98970.21252120659
131,2021-06-12,29489819.58437791,94402.70212299749
132,2021-06-13,29579857.882274665,90038.297896754
133,2021-06-14,29665727.50957103,85869.6272963658
134,2021-06-15,29747616.862598654,81889.35302762315
135,2021-06-16,29825707.070835795,78090.20823714137
136,2021-06-17,29900172.097163852,74465.02632805705
137,2021-06-18,29971178.86313194,71006.76596808806
138,2021-06-19,30038887.39494001,67708.53180807084
139,2021-06-20,30103450.986326013,64563.59138600156
140,2021-06-21,30165016.374976106,61565.38865009323
141,2021-06-22,30223723.92947329,58707.55449718237
142,2021-06-23,30279707.844159782,55983.914686493576
143,2021-06-24,30333096.33961651,53388.495456729084
144,2021-06-25,30384011.866759237,50915.527142725885
145,2021-06-26,30432571.3128187,48559.44605946168
146,2021-06-27,30478886.207713902,46314.89489520341
147,2021-06-28,30523062.929543685,44176.72182978317
148,2021-06-29,30565202.9081158,42139.9785721153
149,2021-06-30,30605402.82560558,40199.91748977825
150,2021-07-01,30643754.813589666,38351.98798408732
151,2021-07-02,30680346.64583633,36591.83224666491
152,2021-07-03,30715261.926354118,34915.28051778674
153,2021-07-04,30748580.272305064,33318.34595094621
154,2021-07-05,30780377.491482083,31797.21917701885
155,2021-07-06,30810725.75412906,30348.26264697686
156,2021-07-07,30839693.758952837,28968.004823777825
157,2021-07-08,30867346.893235143,27653.134282305837
158,2021-07-09,30893747.38700462,26400.493769478053
159,2021-07-10,30918954.461272337,25207.074267715216
160,2021-07-11,30943024.47037091,24070.00909857452
161,2021-07-12,30966011.038468536,22986.568097624928
162,2021-07-13,30987965.190354604,21954.151886068285
163,2021-07-14,31008935.4766142,20970.286259595305
164,2021-07-15,31028968.09332622,20032.616712018847
165,2021-07-16,31048106.996432073,19138.903105854988
166,2021-07-17,31066394.010933377,18287.014501303434
167,2021-07-18,31083868.935083173,17474.924149796367
168,2021-07-19,31100569.63974166,16700.70465848595
169,2021-07-20,31116532.16306947,15962.523327812552
170,2021-07-21,31131790.80073412,15258.637664649636
171,2021-07-22,31146378.19180469,14587.391070567071
172,2021-07-23,31160325.400508992,13947.20870430395
173,2021-07-24,31173661.994025446,13336.5935164541
174,2021-07-25,31186416.116479043,12754.122453596443
175,2021-07-26,31198614.559307236,12198.442828193307
176,2021-07-27,31210282.828157507,11668.268850270659
177,2021-07-28,31221445.20647407,11162.378316562623
178,2021-07-29,31232124.81592622,10679.609452150762
179,2021-07-30,31242343.673826013,10218.857899792492
180,2021-07-31,31252122.747677676,9779.07385166362
181,2021-08-01,31261482.006996103,9359.259318426251
182,2021-08-02,31270440.472526185,8958.465530082583
183,2021-08-03,31279016.262989838,8575.790463652462
184,2021-08-04,31287226.639482047,8210.376492209733
185,2021-08-05,31295088.047632247,7861.408150199801
186,2021-08-06,31302616.15764206,7528.110009811819
187,2021-08-07,31309825.902305815,7209.744663756341
188,2021-08-08,31316731.513115034,6905.6108092181385
189,2021-08-09,31323346.554543544,6615.0414285101
190,2021-08-10,31329683.956605475,6337.402061931789
191,2021-08-11,31335756.045773588,6072.089168112725
192,2021-08-12,31341574.57434161,5818.528568021953
193,2021-08-13,31347150.74830993,5576.17396831885
194,2021-08-14,31352495.25386989,5344.505559962243
195,2021-08-15,31357618.282558758,5123.028688866645
196,2021-08-16,31362529.555153124,4911.272594366223
197,2021-08-17,31367238.344365697,4708.78921257332
198,2021-08-18,31371753.496406693,4515.152040995657
199,2021-08-19,31376083.451468147,4329.955061454326
200,2021-08-20,31380236.26318647,4152.811718322337
201,2021-08-21,31384219.617135596,3983.353949125856
202,2021-08-22,31388040.84840061,3821.2312650159
203,2021-08-23,31391706.95827871,3666.1098780967295
204,2021-08-24,31395224.630152535,3517.6718738265336
205,2021-08-25,31398600.244578138,3375.6144256033003
206,2021-08-26,31401839.893627614,3239.649049475789
207,2021-08-27,31404949.394524757,3109.500897143036
208,2021-08-28,31407934.30260959,2984.908084832132
209,2021-08-29,31410799.923666112,2865.621056523174
210,2021-08-30,31413551.325645693,2751.4019795805216
211,2021-08-31,31416193.349816773,2642.0241710804403
212,2021-09-01,31418730.62136999,2537.2715532183647
213,2021-09-02,31421167.559506513,2436.938136521727
214,2021-09-03,31423508.387035444,2340.8275289312005
215,2021-09-04,31425757.13950536,2248.7524699158967
216,2021-09-05,31427917.67389336,2160.534387998283
217,2021-09-06,31429993.676873878,2076.002980519086
218,2021-09-07,31431988.672688533,1994.9958146549761
219,2021-09-08,31433906.030636817,1917.3579482845962
220,2021-09-09,31435748.97220677,1842.9415699541569
221,2021-09-10,31437520.5778636,1771.6056568287313
222,2021-09-11,31439223.793513253,1703.2156496532261
223,2021-09-12,31440861.43665723,1637.6431439779699
224,2021-09-13,31442436.202253833,1574.765596602112
225,2021-09-14,31443950.668300573,1514.4660467393696
226,2021-09-15,31445407.301151387,1456.6328508146107
227,2021-09-16,31446808.460581988,1401.1594306007028
228,2021-09-17,31448156.40461538,1347.9440333917737
229,2021-09-18,31449453.29411979,1296.8895044103265
230,2021-09-19,31450701.197189856,1247.9030700661242
231,2021-09-20,31451902.093321864,1200.8961320072412
232,2021-09-21,31453057.877393052,1155.78407118842
233,2021-09-22,31454170.363454547,1112.4860614947975
234,2021-09-23,31455241.288346928,1070.9248923808336
235,2021-09-24,31456272.315147392,1031.0268004648387
236,2021-09-25,31457265.036456045,992.7213086523116
237,2021-09-26,31458220.97752978,955.9410737343132
238,2021-09-27,31459141.59927076,920.6217409819365
239,2021-09-28,31460028.301076468,886.7018057070673
240,2021-09-29,31460882.423558194,854.12248172611
241,2021-09-30,31461705.251134194,822.8275760002434
242,2021-10-01,31462498.014503438,792.763369243592
243,2021-10-02,31463261.893005718,763.87850227952
244,2021-10-03,31463998.01687378,736.1238680630922
245,2021-10-04,31464707.469382077,709.4525082968175
246,2021-10-05,31465391.28889765,683.8195155709982
247,2021-10-06,31466050.47083746,659.1819398105145
248,2021-10-07,31466685.969536625,635.4986991658807
249,2021-10-08,31467298.700031865,612.7304952405393
250,2021-10-09,31467889.53976409,590.8397322259843
251,2021-10-10,31468459.33020402,569.7904399298131
252,2021-10-11,31469008.87840431,549.5482002906501
253,2021-10-12,31469538.95848185,530.0800775364041
254,2021-10-13,31470050.313033238,511.3545513898134
255,2021-10-14,31470543.65448684,493.34145360067487
256,2021-10-15,31471019.666394163,476.0119073241949
257,2021-10-16,31471479.00466349,459.33826932683587
258,2021-10-17,31471922.298738413,443.29407492280006
259,2021-10-18,31472350.152723927,427.8539855144918
260,2021-10-19,31472763.14646228,412.9937383532524
261,2021-10-20,31473161.836561218,398.69009893760085
262,2021-10-21,31473546.75737651,384.92081529274583
263,2021-10-22,31473918.421951137,371.6645746268332
264,2021-10-23,31474277.322912946,358.9009618088603
265,2021-10-24,31474623.9333327,346.6104197539389
266,2021-10-25,31474958.707544483,334.7742117829621
267,2021-10-26,31475282.081929993,323.37438550964
268,2021-10-27,31475594.4756685,312.3937385082245
269,2021-10-28,31475896.291453987,301.8157854862511
270,2021-10-29,31476187.916180972,291.6247269846499
271,2021-10-30,31476469.721600454,281.80541948229074
272,2021-10-31,31476742.064947285,272.34334683045745
273,2021-11-01,31477005.289540306,263.2245930209756
274,2021-11-02,31477259.72535653,254.43581622466445
275,2021-11-03,31477505.689580385,245.96422385424376
276,2021-11-04,31477743.487129312,237.79754892736673
277,2021-11-05,31477973.411156714,229.92402740195394
278,2021-11-06,31478195.743533153,222.33237643912435
279,2021-11-07,31478410.755307063,215.01177391037345
280,2021-11-08,31478618.70714555,207.9518384858966
281,2021-11-09,31478819.849756423,201.142610874027
282,2021-11-10,31479014.424292207,194.57453578338027
283,2021-11-11,31479202.662736863,188.23844465613365
284,2021-11-12,31479384.788276147,182.12553928419948
285,2021-11-13,31479561.01565217,176.2273760214448
286,2021-11-14,31479731.55150297,170.53585080057383
287,2021-11-15,31479896.594687704,165.04318473488092
288,2021-11-16,31480056.336598154,159.7419104501605
289,2021-11-17,31480210.961457,154.6248588450253
290,2021-11-18,31480360.64660368,149.6851466819644
291,2021-11-19,31480505.56276814,144.916164457798
292,2021-11-20,31480645.87433319,140.31156505271792
293,2021-11-21,31480781.73958581,135.8652526177466
294,2021-11-22,31480913.31095811,131.57137230038643
295,2021-11-23,31481040.73525805,127.42429994046688
296,2021-11-24,31481164.153890736,123.41863268613815
297,2021-11-25,31481283.703070447,119.54917971044779
298,2021-11-26,31481399.514023915,115.81095346808434
299,2021-11-27,31481511.71318521,112.19916129484773
300,2021-11-28,31481620.42238251,108.70919730141759
301,2021-11-29,31481725.75901735,105.33663483709097
302,2021-11-30,31481827.836236265,102.07721891626716
303,2021-12-01,31481926.76309561,98.92685934528708
304,2021-12-02,31482022.644719537,95.88162392750382
305,2021-12-03,31482115.582451534,92.93773199617863
306,2021-12-04,31482205.673999757,90.09154822304845
307,2021-12-05,31482293.013576478,87.3395767211914
308,2021-12-06,31482377.69203194,84.67845546081662
