,confirmed_death,confirmed_cases,date,state
698,1,3,2020-03-26,hp
699,0,30,2020-03-26,hr
700,0,11,2020-03-26,jk
701,1,41,2020-03-26,ka
702,0,118,2020-03-26,kl
703,0,13,2020-03-26,la
704,3,124,2020-03-26,mh
705,0,1,2020-03-26,mn
706,1,15,2020-03-26,mp
707,0,1,2020-03-26,mz
708,0,2,2020-03-26,or
709,1,33,2020-03-26,pb
710,0,1,2020-03-26,py
711,0,38,2020-03-26,rj
712,0,41,2020-03-26,tg
713,1,26,2020-03-26,tn
714,0,37,2020-03-26,up
715,0,5,2020-03-26,ut
716,1,9,2020-03-26,wb
717,0,1,2020-03-26,an
718,0,11,2020-03-26,ap
719,1,6,2020-03-26,br
720,0,7,2020-03-26,ch
721,0,6,2020-03-26,ct
722,1,36,2020-03-26,dl
723,0,3,2020-03-26,ga
724,3,43,2020-03-26,gj
725,1,3,2020-03-26,hp
726,0,30,2020-03-26,hr
727,0,13,2020-03-26,jk
728,2,55,2020-03-26,ka
729,0,118,2020-03-26,kl
730,0,13,2020-03-26,la
731,3,124,2020-03-26,mh
732,0,1,2020-03-26,mn
733,1,20,2020-03-26,mp
734,0,1,2020-03-26,mz
735,0,2,2020-03-26,or
736,1,33,2020-03-26,pb
737,0,1,2020-03-26,py
738,0,41,2020-03-26,rj
739,0,44,2020-03-26,tg
740,1,26,2020-03-26,tn
741,0,41,2020-03-26,up
742,0,5,2020-03-26,ut
743,1,10,2020-03-26,wb
744,0,1,2020-03-27,an
745,0,12,2020-03-27,ap
746,1,6,2020-03-27,br
747,0,7,2020-03-27,ch
748,0,6,2020-03-27,ct
749,1,36,2020-03-27,dl
750,0,3,2020-03-27,ga
751,3,43,2020-03-27,gj
752,1,3,2020-03-27,hp
753,0,30,2020-03-27,hr
754,1,13,2020-03-27,jk
755,2,55,2020-03-27,ka
756,0,137,2020-03-27,kl
757,0,13,2020-03-27,la
758,4,130,2020-03-27,mh
759,0,1,2020-03-27,mn
760,1,20,2020-03-27,mp
761,0,1,2020-03-27,mz
762,0,2,2020-03-27,or
763,1,33,2020-03-27,pb
764,0,1,2020-03-27,py
765,0,41,2020-03-27,rj
766,0,45,2020-03-27,tg
767,1,29,2020-03-27,tn
768,0,41,2020-03-27,up
769,0,5,2020-03-27,ut
770,1,10,2020-03-27,wb
771,0,2,2020-03-28,an
772,0,14,2020-03-28,ap
773,1,9,2020-03-28,br
774,0,7,2020-03-28,ch
775,0,6,2020-03-28,ct
776,1,39,2020-03-28,dl
777,0,3,2020-03-28,ga
778,3,45,2020-03-28,gj
779,1,3,2020-03-28,hp
780,0,33,2020-03-28,hr
781,1,18,2020-03-28,jk
782,2,55,2020-03-28,ka
783,0,173,2020-03-28,kl
784,0,13,2020-03-28,la
785,5,180,2020-03-28,mh
786,0,1,2020-03-28,mn
787,2,30,2020-03-28,mp
788,0,1,2020-03-28,mz
789,0,3,2020-03-28,or
790,1,38,2020-03-28,pb
791,0,1,2020-03-28,py
792,0,48,2020-03-28,rj
793,0,48,2020-03-28,tg
794,1,38,2020-03-28,tn
795,0,45,2020-03-28,up
796,0,5,2020-03-28,ut
797,1,15,2020-03-28,wb
798,0,6,2020-03-28,an
799,0,14,2020-03-28,ap
800,1,9,2020-03-28,br
801,0,8,2020-03-28,ch
802,0,6,2020-03-28,ct
803,1,39,2020-03-28,dl
804,0,3,2020-03-28,ga
805,3,45,2020-03-28,gj
806,1,3,2020-03-28,hp
807,0,33,2020-03-28,hr
808,1,20,2020-03-28,jk
809,2,55,2020-03-28,ka
810,0,176,2020-03-28,kl
811,0,13,2020-03-28,la
812,5,180,2020-03-28,mh
813,0,1,2020-03-28,mn
814,2,30,2020-03-28,mp
815,0,1,2020-03-28,mz
816,0,3,2020-03-28,or
817,1,38,2020-03-28,pb
818,0,1,2020-03-28,py
819,0,54,2020-03-28,rj
820,0,56,2020-03-28,tg
821,1,40,2020-03-28,tn
822,0,55,2020-03-28,up
823,0,5,2020-03-28,ut
824,1,15,2020-03-28,wb
825,0,9,2020-03-29,an
826,0,14,2020-03-29,ap
827,1,9,2020-03-29,br
828,0,8,2020-03-29,ch
829,0,6,2020-03-29,ct
830,2,39,2020-03-29,dl
831,0,3,2020-03-29,ga
832,4,53,2020-03-29,gj
833,1,3,2020-03-29,hp
834,0,33,2020-03-29,hr
835,1,31,2020-03-29,jk
836,3,76,2020-03-29,ka
837,1,182,2020-03-29,kl
838,0,13,2020-03-29,la
839,6,186,2020-03-29,mh
840,0,1,2020-03-29,mn
841,2,30,2020-03-29,mp
842,0,1,2020-03-29,mz
843,0,3,2020-03-29,or
844,1,38,2020-03-29,pb
845,0,1,2020-03-29,py
846,0,54,2020-03-29,rj
847,1,66,2020-03-29,tg
848,1,42,2020-03-29,tn
849,0,55,2020-03-29,up
850,0,6,2020-03-29,ut
851,1,17,2020-03-29,wb
852,0,9,2020-03-29,an
853,0,19,2020-03-29,ap
854,1,11,2020-03-29,br
855,0,8,2020-03-29,ch
856,0,7,2020-03-29,ct
857,2,49,2020-03-29,dl
858,0,5,2020-03-29,ga
859,5,58,2020-03-29,gj
860,1,3,2020-03-29,hp
861,0,33,2020-03-29,hr
862,2,31,2020-03-29,jk
863,3,76,2020-03-29,ka
864,1,182,2020-03-29,kl
865,0,13,2020-03-29,la
866,6,186,2020-03-29,mh
867,0,1,2020-03-29,mn
868,2,30,2020-03-29,mp
869,0,1,2020-03-29,mz
870,0,3,2020-03-29,or
871,1,38,2020-03-29,pb
872,0,1,2020-03-29,py
873,0,55,2020-03-29,rj
874,1,66,2020-03-29,tg
875,1,49,2020-03-29,tn
876,0,65,2020-03-29,up
877,0,7,2020-03-29,ut
878,1,18,2020-03-29,wb
879,0,9,2020-03-30,an
